"plan_opt","code","prem20_total","prem21_total","prem21_gov","prem21_empl","prem21_increase","prem20_monthly_total","prem21_monthly_total","prem21_monthly_gov","prem21_monthly_empl","prem21_monthly_increase"
"Hawaii Aetna HealthFund CDHP and Aetna Value Plan - Value Self","JS4","495.45",505.19,241.58,263.61,"3.93","1073.48",1094.58,523.42,571.16,"8.52"
"Hawaii Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","JS5","1131.04",1153.29,562.25,591.04,"6.47","2450.59",2498.8,1218.21,1280.59,"14.02"
"Hawaii Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","JS6","1119.8399999999999",1141.88,517.46,624.42,"8.6999999999999993","2426.3200000000002",2474.07,1121.16,1352.91,"18.850000000000001"
"Hawaii Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","JS1","463.38",466.12,241.58,224.54,"-3.07","1003.99",1009.93,523.42,486.51,"-6.64"
"Hawaii Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","JS2","1056.3",1062.53,562.25,500.28,"-9.5500000000000007","2288.65",2302.15,1218.21,1083.94,"-20.69"
"Hawaii Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","JS3","1045.8399999999999",1052,517.46,534.54,"-7.18","2265.9899999999998",2279.33,1121.16,1158.17,"-15.56"
"Hawaii Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Hawaii Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Hawaii Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Hawaii HMSA Plan - High Self","871","291.33999999999997",291.34,218.51,72.83,"0","631.24",631.24,473.43,157.81,"0"
"Hawaii HMSA Plan - High Self & Family","872","654.92999999999995",654.93,491.2,163.73,"0","1419.02",1419.02,1064.27,354.75,"0"
"Hawaii HMSA Plan - High Self Plus One","873","638.34",638.34,478.76,159.58,"0","1383.07",1383.07,1037.3,345.77,"0"
"Hawaii HMSA Plan - Standard Self","874","198.91",209.46,157.1,52.36,"2.63","430.97",453.83,340.37,113.46,"5.72"
"Hawaii HMSA Plan - Standard Self & Family","875","447.15",470.85,353.14,117.71,"5.92","968.83",1020.18,765.14,255.04,"12.83"
"Hawaii HMSA Plan - Standard Self Plus One","876","435.8",458.9,344.18,114.72,"5.77","944.23",994.28,745.71,248.57,"12.51"
"Hawaii Kaiser Permanente - Hawaii - High Self","631","311.79000000000002",311.79,233.84,77.95,"0","675.55",675.55,506.66,168.89,"0"
"Hawaii Kaiser Permanente - Hawaii - High Self & Family","632","695.31",695.31,521.48,173.83,"0","1506.51",1506.51,1129.88,376.63,"0"
"Hawaii Kaiser Permanente - Hawaii - High Self Plus One","633","695.31",695.31,517.46,177.85,"-13.34","1506.51",1506.51,1121.16,385.35,"-28.9"
"Hawaii Kaiser Permanente - Hawaii - Standard Self","634","222.07",233.16,174.87,58.29,"2.77","481.15",505.18,378.89,126.29,"6"
"Hawaii Kaiser Permanente - Hawaii - Standard Self & Family","635","495.22",519.93,389.95,129.98,"6.18","1072.98",1126.52,844.89,281.63,"13.39"
"Hawaii Kaiser Permanente - Hawaii - Standard Self Plus One","636","495.22",519.93,389.95,129.98,"6.18","1072.98",1126.52,844.89,281.63,"13.39"
"Idaho Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Idaho Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Idaho Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Idaho Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Idaho Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Idaho Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Idaho Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","H41","382.37",381.62,241.58,140.04,"-6.56","828.47",826.84,523.42,303.42,"-14.21"
"Idaho Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","H42","871.59",869.88,562.25,307.63,"-17.489999999999998","1888.45",1884.74,1218.21,666.53,"-37.9"
"Idaho Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","H43","863.04",861.43,517.46,343.97,"-14.95","1869.92",1866.43,1121.16,745.27,"-32.39"
"Idaho Aetna HealthFund CDHP and Aetna Value Plan - Value Self","H44","372.48",377.3,241.58,135.72,"-0.99","807.04",817.48,523.42,294.06,"-2.14"
"Idaho Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","H45","854.85",865.92,562.25,303.67,"-4.71","1852.18",1876.16,1218.21,657.95,"-10.210000000000001"
"Idaho Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","H46","838.09",848.95,517.46,331.49,"-2.48","1815.86",1839.39,1121.16,718.23,"-5.37"
"Idaho Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Idaho Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Idaho Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Idaho Altius Health Plan - High Self","9K1","465.72",483.86,241.58,242.28,"12.33","1009.06",1048.36,523.42,524.94,"26.72"
"Idaho Altius Health Plan - High Self & Family","9K2","1029.93",1070.06,562.25,507.81,"24.35","2231.52",2318.46,1218.21,1100.25,"52.75"
"Idaho Altius Health Plan - High Self Plus One","9K3","1019.73",1059.46,517.46,542,"26.39","2209.42",2295.5,1121.16,1174.34,"57.18"
"Idaho Altius Health Plan - HDHP Self","9K4","244.26",310.38,232.79,77.59,"16.53","529.23",672.49,504.37,168.12,"35.81"
"Idaho Altius Health Plan - HDHP Self & Family","9K5","510.48",648.66,486.5,162.16,"34.54","1106.04",1405.43,1054.07,351.36,"74.849999999999994"
"Idaho Altius Health Plan - HDHP Self Plus One","9K6","500.48",635.93,476.95,158.98,"33.86","1084.3699999999999",1377.85,1033.39,344.46,"73.37"
"Idaho Altius Health Plan - Standard Self","DK4","351.37",407.59,241.58,166.01,"50.41","761.3",883.11,523.42,359.69,"109.23"
"Idaho Altius Health Plan - Standard Self & Family","DK5","775.95",900.09,562.25,337.84,"108.36","1681.23",1950.2,1218.21,731.99,"234.78"
"Idaho Altius Health Plan - Standard Self Plus One","DK6","768.26",891.17,517.46,373.71,"109.57","1664.56",1930.87,1121.16,809.71,"237.41"
"Idaho Kaiser Permanente - Washington Core - Standard Self","544","278.83",285.24,213.93,71.31,"1.6","604.13",618.02,463.52,154.5,"3.47"
"Idaho Kaiser Permanente - Washington Core - Standard Self & Family","545","641.32000000000005",656.05,492.04,164.01,"3.68","1389.53",1421.44,1066.08,355.36,"7.98"
"Idaho Kaiser Permanente - Washington Core - Standard Self Plus One","546","641.32000000000005",656.05,492.04,164.01,"3.68","1389.53",1421.44,1066.08,355.36,"7.98"
"Idaho Kaiser Permanente - Washington Core - High Self","541","390.34",398.66,241.58,157.08,"2.5099999999999998","845.74",863.76,523.42,340.34,"5.44"
"Idaho Kaiser Permanente - Washington Core - High Self & Family","542","858.76",877.04,562.25,314.79,"2.5","1860.65",1900.25,1218.21,682.04,"5.41"
"Idaho Kaiser Permanente - Washington Core - High Self Plus One","543","858.76",877.04,517.46,359.58,"4.9400000000000004","1860.65",1900.25,1121.16,779.09,"10.7"
"Idaho Kaiser Permanente - Washington Core - Prosper Self","PT4","New Plan",180,135,45,"New Plan","New Plan",390,292.5,97.5,"New Plan"
"Idaho Kaiser Permanente - Washington Core - Prosper Self & Family","PT5","New Plan",503.99,377.99,126,"New Plan","New Plan",1091.98,818.99,272.99,"New Plan"
"Idaho Kaiser Permanente - Washington Core - Prosper Self Plus One","PT6","New Plan",436,327,109,"New Plan","New Plan",944.67,708.5,236.17,"New Plan"
"Idaho UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Idaho UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Idaho UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Illinois Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Illinois Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Illinois Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Illinois Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Illinois Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Illinois Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Illinois Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","H41","382.37",381.62,241.58,140.04,"-6.56","828.47",826.84,523.42,303.42,"-14.21"
"Illinois Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","H42","871.59",869.88,562.25,307.63,"-17.489999999999998","1888.45",1884.74,1218.21,666.53,"-37.9"
"Illinois Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","H43","863.04",861.43,517.46,343.97,"-14.95","1869.92",1866.43,1121.16,745.27,"-32.39"
"Illinois Aetna HealthFund CDHP and Aetna Value Plan - Value Self","H44","372.48",377.3,241.58,135.72,"-0.99","807.04",817.48,523.42,294.06,"-2.14"
"Illinois Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","H45","854.85",865.92,562.25,303.67,"-4.71","1852.18",1876.16,1218.21,657.95,"-10.210000000000001"
"Illinois Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","H46","838.09",848.95,517.46,331.49,"-2.48","1815.86",1839.39,1121.16,718.23,"-5.37"
"Illinois Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Illinois Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Illinois Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Illinois Blue Preferred - High Self","9G1","384.56",403.49,241.58,161.91,"13.12","833.21",874.23,523.42,350.81,"28.44"
"Illinois Blue Preferred - High Self & Family","9G2","857.94",915.93,562.25,353.68,"42.21","1858.87",1984.52,1218.21,766.31,"91.46"
"Illinois Blue Preferred - High Self Plus One","9G3","812.58",859.44,517.46,341.98,"33.520000000000003","1760.59",1862.12,1121.16,740.96,"72.63"
"Illinois Blue Preferred - Standard Self","9G4","277.20999999999998",292.46,219.35,73.11,"3.81","600.62",633.66,475.25,158.41,"8.26"
"Illinois Blue Preferred - Standard Self & Family","9G5","787.85",811.49,562.25,249.24,"7.86","1707.01",1758.23,1218.21,540.02,"17.03"
"Illinois Blue Preferred - Standard Self Plus One","9G6","712.48",726.73,517.46,209.27,"0.91","1543.71",1574.58,1121.16,453.42,"1.97"
"Illinois Health Alliance HMO - Standard Self","K84","308.37",315.49,236.62,78.87,"1.78","668.14",683.56,512.67,170.89,"3.86"
"Illinois Health Alliance HMO - Standard Self & Family","K85","832.61",731.24,548.43,182.81,"-103.33","1803.99",1584.35,1188.26,396.09,"-223.88"
"Illinois Health Alliance HMO - Standard Self Plus One","K86","714.36",674.59,505.94,168.65,"-41.59","1547.78",1461.61,1096.21,365.4,"-90.12"
"Illinois Humana CoverageFirst and Humana Value Plan - Value Self","GB4","349.91",363.91,241.58,122.33,"8.19","758.14",788.47,523.42,265.05,"17.75"
"Illinois Humana CoverageFirst and Humana Value Plan - Value Self & Family","GB5","787.28",818.77,562.25,256.52,"15.71","1705.77",1774,1218.21,555.79,"34.04"
"Illinois Humana CoverageFirst and Humana Value Plan - Value Self Plus One","GB6","752.29",782.38,517.46,264.92,"16.75","1629.96",1695.16,1121.16,574,"36.299999999999997"
"Illinois Humana CoverageFirst and Humana Value Plan - CDHP Self","GB1","544.86",566.65,241.58,325.07,"15.98","1180.53",1227.74,523.42,704.32,"34.630000000000003"
"Illinois Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","GB2","1225.9100000000001",1274.95,562.25,712.7,"33.26","2656.14",2762.39,1218.21,1544.18,"72.06"
"Illinois Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","GB3","1171.44",1218.3,517.46,700.84,"33.520000000000003","2538.12",2639.65,1121.16,1518.49,"72.63"
"Illinois Humana CoverageFirst and Humana Value Plan - Value Self","MW4","348.42",372.81,241.58,131.23,"18.579999999999998","754.91",807.76,523.42,284.34,"40.270000000000003"
"Illinois Humana CoverageFirst and Humana Value Plan - Value Self & Family","MW5","783.93",838.8,562.25,276.55,"39.090000000000003","1698.52",1817.4,1218.21,599.19,"84.69"
"Illinois Humana CoverageFirst and Humana Value Plan - Value Self Plus One","MW6","749.1",801.54,517.46,284.08,"39.1","1623.05",1736.67,1121.16,615.51,"84.72"
"Illinois Humana CoverageFirst and Humana Value Plan - CDHP Self","MW1","422.78",473.52,241.58,231.94,"44.93","916.02",1025.96,523.42,502.54,"97.36"
"Illinois Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","MW2","951.3",1065.45,562.25,503.2,"98.37","2061.15",2308.48,1218.21,1090.27,"213.14"
"Illinois Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","MW3","909",1018.09,517.46,500.63,"95.75","1969.5",2205.86,1121.16,1084.7,"207.46"
"Illinois Humana Health Plan, Inc. - Standard Self","754","439.34",482.47,241.58,240.89,"37.32","951.9",1045.35,523.42,521.93,"80.87"
"Illinois Humana Health Plan, Inc. - Standard Self & Family","755","988.51",1085.55,562.25,523.3,"81.260000000000005","2141.77",2352.03,1218.21,1133.82,"176.07"
"Illinois Humana Health Plan, Inc. - Standard Self Plus One","756","944.58",1037.32,517.46,519.86,"79.400000000000006","2046.59",2247.53,1121.16,1126.37,"172.04"
"Illinois Humana Health Plan, Inc. - High Self","751","571.82000000000005",631.85,241.58,390.27,"54.22","1238.94",1369.01,523.42,845.59,"117.49"
"Illinois Humana Health Plan, Inc. - High Self & Family","752","1286.5899999999999",1421.69,562.25,859.44,"119.32","2787.61",3080.33,1218.21,1862.12,"258.52999999999997"
"Illinois Humana Health Plan, Inc. - High Self Plus One","753","1229.42",1358.5,517.46,841.04,"115.74","2663.74",2943.42,1121.16,1822.26,"250.78"
"Illinois Humana Health Plan, Inc. - High Self","9F1","894.61",930.39,241.58,688.81,"29.97","1938.32",2015.85,523.42,1492.43,"64.95"
"Illinois Humana Health Plan, Inc. - High Self & Family","9F2","2012.86",2093.37,562.25,1531.12,"64.73","4361.2",4535.64,1218.21,3317.43,"140.25"
"Illinois Humana Health Plan, Inc. - High Self Plus One","9F3","1923.39",2000.32,517.46,1482.86,"63.59","4167.3500000000004",4334.03,1121.16,3212.87,"137.78"
"Illinois Humana Health Plan, Inc. - Standard Self","AB4","530.54999999999995",573.09,241.58,331.51,"36.729999999999997","1149.53",1241.7,523.42,718.28,"79.59"
"Illinois Humana Health Plan, Inc. - Standard Self & Family","AB5","1193.74",1289.49,562.25,727.24,"79.97","2586.44",2793.9,1218.21,1575.69,"173.27"
"Illinois Humana Health Plan, Inc. - Standard Self Plus One","AB6","1140.69",1232.18,517.46,714.72,"78.150000000000006","2471.5",2669.72,1121.16,1548.56,"169.32"
"Illinois Humana Health Plan, Inc. - Basic Self","AB1","349.22",363.19,241.58,121.61,"8.16","756.64",786.91,523.42,263.49,"17.690000000000001"
"Illinois Humana Health Plan, Inc. - Basic Self & Family","AB2","785.77",817.2,562.25,254.95,"15.65","1702.5",1770.6,1218.21,552.39,"33.909999999999997"
"Illinois Humana Health Plan, Inc. - Basic Self Plus One","AB3","750.85",780.88,517.46,263.42,"16.690000000000001","1626.84",1691.91,1121.16,570.75,"36.17"
"Illinois Humana Health Plan, Inc. - Basic Self","RW1","345.34",378.02,241.58,136.44,"26.87","748.24",819.04,523.42,295.62,"58.22"
"Illinois Humana Health Plan, Inc. - Basic Self & Family","RW2","777.02",850.55,562.25,288.3,"57.75","1683.54",1842.86,1218.21,624.65,"125.13"
"Illinois Humana Health Plan, Inc. - Basic Self Plus One","RW3","742.49",812.75,517.46,295.29,"56.92","1608.73",1760.96,1121.16,639.8,"123.33"
"Illinois Union Health Service - High Self","761","343.42",360.95,241.58,119.37,"11.72","744.08",782.06,523.42,258.64,"25.4"
"Illinois Union Health Service - High Self & Family","762","877.68",905.96,562.25,343.71,"12.5","1901.64",1962.91,1218.21,744.7,"27.08"
"Illinois Union Health Service - High Self Plus One","763","770",799.54,517.46,282.08,"16.2","1668.33",1732.34,1121.16,611.18,"35.11"
"Illinois UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self","AS1","242.68",276.68,207.51,69.17,"8.5","525.80999999999995",599.47,449.6,149.87,"18.420000000000002"
"Illinois UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self & Family","AS2","573.86",654.35,490.76,163.59,"20.13","1243.3599999999999",1417.76,1063.32,354.44,"43.6"
"Illinois UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self Plus One","AS3","521.73",594.87,446.15,148.72,"18.29","1130.42",1288.89,966.67,322.22,"39.619999999999997"
"Illinois UnitedHealthcare Insurance Company, Inc. Choice Plus Advanced - Value Self","L91","240.69",255.98,191.99,63.99,"3.82","521.5",554.62,415.97,138.65,"8.2799999999999994"
"Illinois UnitedHealthcare Insurance Company, Inc. Choice Plus Advanced - Value Self & Family","L92","674.89",717.76,538.32,179.44,"10.72","1462.26",1555.15,1166.36,388.79,"23.23"
"Illinois UnitedHealthcare Insurance Company, Inc. Choice Plus Advanced - Value Self Plus One","L93","470.06",499.93,374.95,124.98,"7.47","1018.46",1083.18,812.39,270.79,"16.18"
"Illinois UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self","Y81","233.88",266.18,199.64,66.54,"8.07","506.74",576.72,432.54,144.18,"17.5"
"Illinois UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self & Family","Y82","553.03",629.51,472.13,157.38,"19.12","1198.23",1363.94,1022.96,340.98,"41.42"
"Illinois UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self Plus One","Y83","502.79",572.28,429.21,143.07,"17.37","1089.3800000000001",1239.94,929.96,309.98,"37.64"
"Illinois UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Illinois UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Illinois UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Indiana Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Indiana Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Indiana Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Indiana Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Indiana Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Indiana Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Indiana Aetna HealthFund CDHP and Aetna Value Plan - Value Self","JS4","495.45",505.19,241.58,263.61,"3.93","1073.48",1094.58,523.42,571.16,"8.52"
"Indiana Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","JS5","1131.04",1153.29,562.25,591.04,"6.47","2450.59",2498.8,1218.21,1280.59,"14.02"
"Indiana Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","JS6","1119.8399999999999",1141.88,517.46,624.42,"8.6999999999999993","2426.3200000000002",2474.07,1121.16,1352.91,"18.850000000000001"
"Indiana Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","JS1","463.38",466.12,241.58,224.54,"-3.07","1003.99",1009.93,523.42,486.51,"-6.64"
"Indiana Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","JS2","1056.3",1062.53,562.25,500.28,"-9.5500000000000007","2288.65",2302.15,1218.21,1083.94,"-20.69"
"Indiana Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","JS3","1045.8399999999999",1052,517.46,534.54,"-7.18","2265.9899999999998",2279.33,1121.16,1158.17,"-15.56"
"Indiana Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Indiana Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Indiana Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Indiana Health Alliance HMO - Standard Self","K84","308.37",315.49,236.62,78.87,"1.78","668.14",683.56,512.67,170.89,"3.86"
"Indiana Health Alliance HMO - Standard Self & Family","K85","832.61",731.24,548.43,182.81,"-103.33","1803.99",1584.35,1188.26,396.09,"-223.88"
"Indiana Health Alliance HMO - Standard Self Plus One","K86","714.36",674.59,505.94,168.65,"-41.59","1547.78",1461.61,1096.21,365.4,"-90.12"
"Indiana Humana CoverageFirst - CDHP Self","TC1","304.37",340.88,241.58,99.3,"23.21","659.47",738.57,523.42,215.15,"50.28"
"Indiana Humana CoverageFirst - CDHP Self & Family","TC2","684.8",766.98,562.25,204.73,"33.53","1483.73",1661.79,1218.21,443.58,"72.650000000000006"
"Indiana Humana CoverageFirst - CDHP Self Plus One","TC3","654.38",732.9,517.46,215.44,"51.85","1417.82",1587.95,1121.16,466.79,"112.34"
"Indiana Humana CoverageFirst and Humana Value Plan - Value Self","MW4","348.42",372.81,241.58,131.23,"18.579999999999998","754.91",807.76,523.42,284.34,"40.270000000000003"
"Indiana Humana CoverageFirst and Humana Value Plan - Value Self & Family","MW5","783.93",838.8,562.25,276.55,"39.090000000000003","1698.52",1817.4,1218.21,599.19,"84.69"
"Indiana Humana CoverageFirst and Humana Value Plan - Value Self Plus One","MW6","749.1",801.54,517.46,284.08,"39.1","1623.05",1736.67,1121.16,615.51,"84.72"
"Indiana Humana CoverageFirst and Humana Value Plan - CDHP Self","MW1","422.78",473.52,241.58,231.94,"44.93","916.02",1025.96,523.42,502.54,"97.36"
"Indiana Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","MW2","951.3",1065.45,562.25,503.2,"98.37","2061.15",2308.48,1218.21,1090.27,"213.14"
"Indiana Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","MW3","909",1018.09,517.46,500.63,"95.75","1969.5",2205.86,1121.16,1084.7,"207.46"
"Indiana Humana CoverageFirst and Humana Value Plan - Value Self","X34","283.89999999999998",298.1,223.58,74.52,"3.55","615.12",645.88,484.41,161.47,"7.69"
"Indiana Humana CoverageFirst and Humana Value Plan - Value Self & Family","X35","638.79",670.73,503.05,167.68,"7.98","1384.05",1453.25,1089.94,363.31,"17.3"
"Indiana Humana CoverageFirst and Humana Value Plan - Value Self Plus One","X36","610.4",640.92,480.69,160.23,"7.63","1322.53",1388.66,1041.5,347.16,"16.53"
"Indiana Humana CoverageFirst and Humana Value Plan - CDHP Self","X31","368.97",387.42,241.58,145.84,"12.64","799.44",839.41,523.42,315.99,"27.39"
"Indiana Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","X32","830.2",871.71,562.25,309.46,"25.73","1798.77",1888.71,1218.21,670.5,"55.75"
"Indiana Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","X33","793.3",832.97,517.46,315.51,"26.33","1718.82",1804.77,1121.16,683.61,"57.05"
"Indiana Humana Health Plan of Ohio, Inc. - High Self","A61","692.76",727.4,241.58,485.82,"28.83","1500.98",1576.03,523.42,1052.61,"62.47"
"Indiana Humana Health Plan of Ohio, Inc. - High Self & Family","A62","1558.72",1636.66,562.25,1074.41,"62.16","3377.23",3546.1,1218.21,2327.89,"134.68"
"Indiana Humana Health Plan of Ohio, Inc. - High Self Plus One","A63","1489.45",1563.92,517.46,1046.46,"61.13","3227.14",3388.49,1121.16,2267.33,"132.44999999999999"
"Indiana Humana Health Plan of Ohio, Inc. - Standard Self","A64","541",568.05,241.58,326.47,"21.24","1172.17",1230.78,523.42,707.36,"46.03"
"Indiana Humana Health Plan of Ohio, Inc. - Standard Self & Family","A65","1217.27",1278.14,562.25,715.89,"45.09","2637.42",2769.3,1218.21,1551.09,"97.69"
"Indiana Humana Health Plan of Ohio, Inc. - Standard Self Plus One","A66","1163.17",1221.32,517.46,703.86,"44.81","2520.1999999999998",2646.19,1121.16,1525.03,"97.09"
"Indiana Humana Health Plan, Inc. - Standard Self","754","439.34",482.47,241.58,240.89,"37.32","951.9",1045.35,523.42,521.93,"80.87"
"Indiana Humana Health Plan, Inc. - Standard Self & Family","755","988.51",1085.55,562.25,523.3,"81.260000000000005","2141.77",2352.03,1218.21,1133.82,"176.07"
"Indiana Humana Health Plan, Inc. - Standard Self Plus One","756","944.58",1037.32,517.46,519.86,"79.400000000000006","2046.59",2247.53,1121.16,1126.37,"172.04"
"Indiana Humana Health Plan, Inc. - High Self","751","571.82000000000005",631.85,241.58,390.27,"54.22","1238.94",1369.01,523.42,845.59,"117.49"
"Indiana Humana Health Plan, Inc. - High Self & Family","752","1286.5899999999999",1421.69,562.25,859.44,"119.32","2787.61",3080.33,1218.21,1862.12,"258.52999999999997"
"Indiana Humana Health Plan, Inc. - High Self Plus One","753","1229.42",1358.5,517.46,841.04,"115.74","2663.74",2943.42,1121.16,1822.26,"250.78"
"Indiana Humana Health Plan, Inc. - High Self","MH1","509.98",560.99,241.58,319.41,"45.2","1104.96",1215.48,523.42,692.06,"97.94"
"Indiana Humana Health Plan, Inc. - High Self & Family","MH2","1147.47",1262.23,562.25,699.98,"98.98","2486.19",2734.83,1218.21,1516.62,"214.45"
